# Generation-first audit classification manifest (2026-07).
# Format: path<TAB>CLASS<TAB>evidence. Longest-prefix match; see METHODOLOGY.md.
crates/cpmp/src/registry.rs	GENERATABLE-NOW	63 builder calls duplicate crates/cpmp/ontologies/catalog.ttl (already include_str!'d); only template wiring missing
crates/cpmp/src/projection.rs	GENERATABLE-WITH-SPEC	markdown/RDF report assembly via format! — template-shaped
crates/cpmp/src/ocel.rs	GENERATABLE-WITH-SPEC	OCEL 2.0 standard serde mirrors; ~45 LOC DFG helpers custom remainder
crates/cpmp/src/models.rs	GENERATABLE-WITH-SPEC	pure type defs (FileEntry, Symbol, Receipt, DetectedCapability)
crates/cpmp/src/entry.rs	GENERATABLE-WITH-SPEC	Capability/OntologyContent/OntologyEntry type defs
crates/cpmp/src/tier.rs	GENERATABLE-WITH-SPEC	two enums + Display impls
crates/cpmp/src/error.rs	GENERATABLE-WITH-SPEC	error enum + Display + From impls
crates/cpmp/src/db.rs	GENERATABLE-WITH-SPEC	CREATE TABLE strings + insert wiring; schema-derivable
crates/cpmp/src/catalog.rs	GENERATABLE-WITH-SPEC	clap-noun-verb #[verb] CLI wiring; .specify/cli-schema.ttl family
crates/cpmp/src/lib.rs	GENERATABLE-WITH-SPEC	mod decls + run_cli wiring
crates/cpmp/src/main.rs	GENERATABLE-WITH-SPEC	one-line binary entry
crates/cpmp/src/classification.rs	IRREDUCIBLY-CUSTOM	classify_file signal heuristics + dormant_crate_dirs workspace parsing
crates/cpmp/src/capability.rs	IRREDUCIBLY-CUSTOM	keyword capability-detection heuristics
crates/cpmp/src/symbol.rs	IRREDUCIBLY-CUSTOM	regex symbol extraction per language
crates/cpmp/src/scanner.rs	IRREDUCIBLY-CUSTOM	walkdir scan orchestration + hashing
crates/cpmp/src/receipt.rs	IRREDUCIBLY-CUSTOM	BLAKE3 aggregate_hash + verify_no_deletion; E-ledger candidate
crates/genesis-core-v2/src/lib.rs	GENERATABLE-WITH-SPEC	Pattern trait + 3 metadata-driven YAWL impls + registry boilerplate; needs yawl-patterns.ttl
crates/genesis-core-v2/src/inventory.rs	GENERATABLE-WITH-SPEC	enums with per-variant policy tables; TTL-emittable
crates/genesis-core-v2/src/registry.rs	GENERATABLE-WITH-SPEC	HashMap registry boilerplate
crates/genesis-core-v2/src/patterns.rs	DEAD-DELETE	0 code LOC empty placeholder module
crates/genesis-core-v2/src/primitives.rs	IRREDUCIBLY-CUSTOM	no_std zero-alloc primitives + BLAKE3 receipt/replay algorithms; E-ledger candidate
crates/genesis-core-v2/src/revelation.rs	IRREDUCIBLY-CUSTOM	receipt/evidence verification logic (verify_lamb_authority, is_genuine recompute)
crates/genesis-core-v2/src/split_laws.rs	IRREDUCIBLY-CUSTOM	need9/need257 page-split algorithms with receipt hashing
crates/genesis-core/src	DEAD-DELETE	consolidation-analysis §1 REMOVE; dependent-grep: only dormant non-member crates reference it; primitives duplicated in genesis-core-v2/src/primitives.rs
crates/genesis-schema-v2/src	GENERATABLE-WITH-SPEC	pure derive serde structs (OpenAPI mirror) + trivial registry; consolidation-analysis §2 merges into genesis-types-v2 (not dead)
crates/genesis-types-v2/src	GENERATABLE-WITH-SPEC	~90% derive structs/newtypes/json round-trips (symbol sweep); ~80 LOC custom (PowlGraph::validate, compute_status, receipt hash) noted in crate audit
crates/ggen-a2a-mcp/src/a2a_generated/	GENERATED	mod.rs header lines 1-2: "Generated by ggen from A2A ontology / Do not edit - regenerate with: ggen sync"; NOTE no ggen.toml rule currently targets this dir (grep -c a2a_generated ggen.toml = 0) — G-ledger promotion needs rewiring
crates/ggen-a2a-mcp/src/a2a/mod.rs	GENERATABLE-WITH-SPEC	serde task/state type definitions; same shape as a2a_generated type templates
crates/ggen-a2a-mcp/src/a2a/artifact.rs	GENERATABLE-WITH-SPEC	artifact serde type defs, no algorithm
crates/ggen-a2a-mcp/src/a2a/receipt.rs	GENERATABLE-WITH-SPEC	receipt serde type defs, no algorithm
crates/ggen-a2a-mcp/src/a2a/state_machine.rs	GENERATABLE-WITH-SPEC	TaskState transition table + guards; transition matrices are TTL-expressible (cf. genesis-schema-v2 workflow patterns)
crates/ggen-a2a-mcp/src/a2a/ggen_construct.rs	GENERATABLE-WITH-SPEC	MCP tool adapter with explicit spec (PLAN_INTEGRATION.md 2.2); nearest template family templates/mcp-server/
crates/ggen-a2a-mcp/src/a2a/transport.rs	IRREDUCIBLY-CUSTOM	tokio mpsc/RwLock inter-agent channel plumbing with lifecycle management; no declarative shape
crates/ggen-a2a-mcp/src/a2a_registry/types.rs	GENERATABLE-WITH-SPEC	registry entry/status type defs
crates/ggen-a2a-mcp/src/a2a_registry/error.rs	GENERATABLE-WITH-SPEC	thiserror enum boilerplate
crates/ggen-a2a-mcp/src/a2a_registry/query.rs	GENERATABLE-WITH-SPEC	declarative agent query matcher
crates/ggen-a2a-mcp/src/a2a_registry/store.rs	GENERATABLE-WITH-SPEC	AgentStore trait + in-memory CRUD impl
crates/ggen-a2a-mcp/src/a2a_registry/registry.rs	GENERATABLE-WITH-SPEC	thin orchestration facade over store + health monitor
crates/ggen-a2a-mcp/src/a2a_registry/mod.rs	GENERATABLE-WITH-SPEC	module re-exports
crates/ggen-a2a-mcp/src/a2a_registry/health.rs	IRREDUCIBLY-CUSTOM	background tokio health-check loop (interval/timeout/Notify shutdown, HTTP pings)
crates/ggen-a2a-mcp/src/mcp_packs.rs	GENERATABLE-WITH-SPEC	tool-table wire layer over ggen_core::agent::PackAgent; schemars-typed dispatch, logic lives in ggen-core
crates/ggen-a2a-mcp/src/mcp_server.rs	GENERATABLE-WITH-SPEC	rmcp tool_router registration wiring; templates/mcp-server/stdio_server.rs.tera is nearest template (unwired)
crates/ggen-a2a-mcp/src/lib.rs	GENERATABLE-WITH-SPEC	crate re-exports
crates/ggen-cli/src/main.rs	GENERATABLE-NOW	thin entry; .specify/templates/cli/main.rs.tera + .specify/cli-commands.ttl exist, wiring missing
crates/ggen-cli/src/generated_commands.rs	GENERATABLE-NOW	DO NOT EDIT header but 8 EMPTY tuples (read 2026-07-02); template .specify/templates/cli/commands-reference.rs.tera + spec .specify/cli-commands.ttl exist; key-prefix wiring bug, not GENERATED
crates/ggen-cli/src/lib.rs	GENERATABLE-WITH-SPEC	module registry/re-exports; registry-shaped
crates/ggen-cli/src/prelude.rs	GENERATABLE-WITH-SPEC	re-export boilerplate
crates/ggen-cli/src/error.rs	GENERATABLE-WITH-SPEC	thiserror enum; .specify/templates/cli/error.rs.tera exists, error taxonomy not yet in TTL
crates/ggen-cli/src/introspection.rs	GENERATABLE-WITH-SPEC	VerbMetadata/CommandGraph registry data that .specify/cli-commands.ttl should own
crates/ggen-cli/src/runtime.rs	GENERATABLE-WITH-SPEC	fixed async-bridge boilerplate
crates/ggen-cli/src/runtime_helper.rs	GENERATABLE-WITH-SPEC	fixed async-bridge boilerplate
crates/ggen-cli/src/config_clap	GENERATABLE-WITH-SPEC	serde config loader + error enum boilerplate
crates/ggen-cli/src/validation	GENERATABLE-WITH-SPEC	command-structure validation tables
crates/ggen-cli/src/validation_lib/mod.rs	GENERATABLE-WITH-SPEC	module wiring
crates/ggen-cli/src/validation_lib/error.rs	GENERATABLE-WITH-SPEC	thiserror enum boilerplate
crates/ggen-cli/src/validation_lib/security.rs	GENERATABLE-WITH-SPEC	permission rule tables
crates/ggen-cli/src/validation_lib/io_validator.rs	GENERATABLE-WITH-SPEC	rule-table validation boilerplate
crates/ggen-cli/src/validation_lib/noun_verb_validator.rs	IRREDUCIBLY-CUSTOM	cycle detection over command dependency graph
crates/ggen-cli/src/pack_install.rs	IRREDUCIBLY-CUSTOM	concurrent install orchestration (Semaphore/join_all/caching/dependency resolution)
crates/ggen-cli/src/progress.rs	IRREDUCIBLY-CUSTOM	async progress state machine over tokio::broadcast; replace-with-crate candidate
crates/ggen-cli/src/receipt_manager.rs	IRREDUCIBLY-CUSTOM	ed25519 receipt signing/verification; E-ledger allowlist candidate
crates/ggen-cli/src/version_checker.rs	IRREDUCIBLY-CUSTOM	binary-mtime/CI-env heuristic
crates/ggen-cli/src/conventions/mod.rs	GENERATABLE-WITH-SPEC	module wiring
crates/ggen-cli/src/conventions/presets	GENERATABLE-WITH-SPEC	preset pattern data tables
